src,dst,2017,2018,2019
Amazon Redshift,SharePoint,0,68,0
Amazon Redshift,Spark,0,317,0
Amazon Redshift,Spring,0,276,0
Amazon Redshift,Sublime Text,0,560,0
Amazon Redshift,TensorFlow,0,208,0
Amazon Redshift,TextMate,0,62,0
Amazon Redshift,Torch/PyTorch,0,78,0
Amazon Redshift,Vim,0,672,0
Amazon Redshift,Visual Studio,0,274,0
Amazon Redshift,Visual Studio Code,0,446,0
Amazon Redshift,Windows,0,583,0
Amazon Redshift,Windows Phone,0,59,0
Amazon Redshift,WordPress,0,182,0
Amazon Redshift,Xamarin,0,82,0
Amazon Redshift,Xcode,0,170,0
Amazon Redshift,Zend,0,38,0
Amazon Redshift,iOS,0,221,0
Amazon Web Services (AWS),.NET Core,1245,0,0
Amazon Web Services (AWS),Android Studio,1308,0,0
Amazon Web Services (AWS),AngularJS,2911,0,0
Amazon Web Services (AWS),Atom,2022,0,0
Amazon Web Services (AWS),Coda,81,0,0
Amazon Web Services (AWS),Cordova,790,0,0
Amazon Web Services (AWS),Eclipse,1508,0,0
Amazon Web Services (AWS),Emacs,567,0,0
Amazon Web Services (AWS),Firebase,689,0,0
Amazon Web Services (AWS),Hadoop,516,0,0
Amazon Web Services (AWS),IPython / Jupyter,647,0,0
Amazon Web Services (AWS),IntelliJ,2288,0,0
Amazon Web Services (AWS),Komodo,59,0,0
Amazon Web Services (AWS),Light Table,24,0,0
Amazon Web Services (AWS),Microsoft Azure,1013,0,0
Amazon Web Services (AWS),NetBeans,587,0,0
Amazon Web Services (AWS),Node.js,3486,0,0
Amazon Web Services (AWS),Notepad++,2063,0,0
Amazon Web Services (AWS),PHPStorm,920,0,0
Amazon Web Services (AWS),PyCharm,1013,0,0
Amazon Web Services (AWS),RStudio,254,0,0
Amazon Web Services (AWS),React,1688,0,0
Amazon Web Services (AWS),RubyMine,273,0,0
Amazon Web Services (AWS),Spark,450,0,0
Amazon Web Services (AWS),Sublime Text,2915,0,0
Amazon Web Services (AWS),TextMate,175,0,0
Amazon Web Services (AWS),Vim,3120,0,0
Amazon Web Services (AWS),Visual Studio,2111,0,0
Amazon Web Services (AWS),Visual Studio Code,1598,0,0
Amazon Web Services (AWS),Xamarin,406,0,0
Amazon Web Services (AWS),Xcode,1085,0,0
Amazon Web Services (AWS),Zend,50,0,0
Android,.NET,0,0,6330
Android,.NET Core,1790,3979,4146
Android,ASP.NET,0,0,4749
Android,AWS,0,4157,5308
Android,Amazon Web Services (AWS),2102,0,0
Android,Android Studio,4849,11539,12259
Android,Angular/Angular.js,0,5742,6013
Android,AngularJS,2505,0,0
Android,Ansible,0,0,1056
Android,Apache Spark,0,0,842
Android,Apple Watch or Apple TV,0,627,0
Android,Arduino,1374,3219,4148
Android,Atom,1665,3867,3366
Android,Azure,0,2089,0
Android,BSD/Unix,0,33,24
Android,Chef,0,0,373
Android,Coda,58,162,194
Android,Cordova,1299,2717,2690
Android,CryEngine,0,0,222
Android,Django,0,1939,2373
Android,Docker,0,0,5864
Android,Drupal,0,648,782
Android,ESP8266,0,630,0
Android,Eclipse,2449,4689,3951
Android,Emacs,373,613,725
Android,Express,0,0,4001
Android,Firebase,1190,5643,0
Android,Flask,0,0,1926
Android,Flutter,0,0,1529
Android,Gaming console,0,478,0
Android,Google Cloud Platform/App Engine,0,2190,3790
Android,Google Home,0,500,0
Android,Hadoop,292,654,785
Android,Heroku,0,2174,2722
Android,IBM Cloud or Watson,0,387,593
Android,IPython / Jupyter,341,1132,1781
Android,IntelliJ,2455,6678,7411
Android,Komodo,74,144,154
Android,Kubernetes,0,0,1495
Android,Laravel,0,0,2284
Android,Light Table,25,58,86
Android,Linux,2621,8415,10863
Android,Linux-based,0,4197,5102
Android,MacOS,1588,8999,8217
Android,Mainframe,97,146,0
Android,Microsoft Azure,867,0,2676
Android,NetBeans,1032,2400,2128
Android,Node.js,2816,7805,8887
Android,Notepad++,3110,7195,7219
Android,PHPStorm,846,1969,1983
Android,Pandas,0,0,1605
Android,Predix,0,45,0
Android,Puppet,0,0,387
Android,PyCharm,873,2485,3077
Android,RStudio,168,471,513
Android,Raspberry Pi,1743,3961,4588
Android,React,1045,4210,0
Android,React Native,0,0,3533
Android,React.js,0,0,5664
Android,Ruby on Rails,0,0,1358
Android,RubyMine,161,352,359
Android,Salesforce,190,397,0
Android,Serverless,180,821,0
Android,SharePoint,304,539,0
Android,Slack,0,0,5014
Android,Spark,211,514,0
Android,Spring,0,2555,2927
Android,Sublime Text,2543,6102,5638
Android,TensorFlow,0,1311,2090
Android,TextMate,103,245,268
Android,Torch/PyTorch,0,283,616
Android,Unity 3D,0,0,3353
Android,Unreal Engine,0,0,1077
Android,Vim,1943,4306,4697
Android,Visual Studio,3242,6875,7533
Android,Visual Studio Code,1637,6988,11741
Android,Vue.js,0,0,2772
Android,Windows,3174,15599,14355
Android,Windows Phone,646,1127,0
Android,WordPress,1571,3623,4101
Android,Xamarin,975,2459,2631
Android,Xcode,1591,3607,4113
Android,Zend,59,119,155
Android,iOS,2720,5938,6762
Android,jQuery,0,0,8928
Android Studio,.NET,0,0,3666
Android Studio,.NET Core,0,0,2235
Android Studio,ASP.NET,0,0,2719
Android Studio,Angular/Angular.js,0,0,3574
Android Studio,Ansible,0,0,625
Android Studio,Apache Spark,0,0,591
Android Studio,Atom,0,3322,2630
Android Studio,BSD/Unix,0,0,19
Android Studio,Chef,0,0,251
Android Studio,Coda,0,169,215
Android Studio,Cordova,0,0,1589
Android Studio,CryEngine,0,0,168
Android Studio,Django,0,0,1494
Android Studio,Drupal,0,0,524
Android Studio,Eclipse,2097,4591,3466
Android Studio,Emacs,0,452,446
Android Studio,Express,0,0,2417
Android Studio,Flask,0,0,1155
Android Studio,Flutter,0,0,1266
Android Studio,Hadoop,0,0,497
Android Studio,IPython / Jupyter,267,979,1345
Android Studio,IntelliJ,2102,6128,6142
Android Studio,Komodo,65,172,191
Android Studio,Laravel,0,0,1624
Android Studio,Light Table,18,77,118
Android Studio,Linux-based,0,0,3351
Android Studio,MacOS,0,0,2270
Android Studio,NetBeans,929,2490,2012
Android Studio,Node.js,0,0,5340
Android Studio,Notepad++,0,6028,5415
Android Studio,PHPStorm,641,1764,1705
Android Studio,Pandas,0,0,972
Android Studio,Puppet,0,0,234
Android Studio,PyCharm,738,2292,2524
